DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Bánov;Bánov;Nové Zámky;941 01;Bánov pri Novıch Zámkoch;Bánov pri N.Zámkoch;404;NI;94101
Bánová;Bánová;ilina;010 04;ilina 4;ilina 4;511;ZI;01004
Bánovce nad Bebravou;Bánovce nad Bebravou;Bánovce nad Bebravou;;;Pozri zoz.ulíc s PSÈ;301;TC;
Bánovce nad Ondavou;Bánovce nad Ondavou;Michalovce;072 04;Trhovište;Trhovište;807;KI;07204
Banská;Banská;Prievidza;972 48;Horná Ves;Horná Ves;307;TC;97248
Banská Belá;Banská Belá;Banská Štiavnica;966 15;Banská Belá;Banská Belá;602;BC;96615
Banská Bystrica;Banská Bystrica;Banská Bystrica;;;Pozri zoz.ulíc s PSÈ;601;BC;
Banská Hodruša;Banská Hodruša;arnovica;966 63;Hodruša - Hámre 1;Hodruša - Hámre 1;612;BC;96663
Banská Štiavnica;Banská Štiavnica;Banská Štiavnica;;;Pozri zoz.ulíc s PSÈ;602;BC;
Banské;Banské;Vranov nad Top¾ou;094 12;Vechec;Vechec;713;PV;09412
Banskı Studenec;Banskı Studenec;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;96901
Bara;Bara;Trebišov;076 32;Borša;Borša;811;KI;07632
Barca;Barca;Rimavská Sobota;982 51;Figa;Figa;609;BC;98251
Bardejov;Bardejov;Bardejov;085 01;Bardejov 1;Bardejov 1;701;PV;08501
Bardejovská Nová Ves;Bardejovská Nová Ves;Bardejov;085 01;Bardejov 1;Bardejov 1;701;PV;08501
Bardejovská Zábava;Bardejovská Zábava;Bardejov;085 01;Bardejov 1;Bardejov 1;701;PV;08501
Bardejovské Kúpele;Bardejovské Kúpele;Bardejov;086 31;Bardejovské kúpele;Bardejovské kúpele;701;PV;08631
Bardoòovo;Bardoòovo;Nové Zámky;941 49;Bardoòovo;Bardoòovo;404;NI;94149
Bartošova Lehôtka;Bartošova Lehôtka;iar nad Hronom;967 01;Kremnica 1;Kremnica 1;613;BC;96701
