DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;PSC_bez
Chlmec;Chlmec;Humenné;067 41;Chlmec;Chlmec;702;PV;06741
Chme¾nica;Chme¾nica;Stará ¼ubovòa;064 01;Stará ¼ubovòa;Stará ¼ubovòa;710;PV;06401
Chme¾ov;Chme¾ov;Prešov;082 15;Chme¾ov;Chme¾ov;707;PV;08215
Chme¾ová;Chme¾ová;Bardejov;086 33;Zborov;Zborov;701;PV;08633
Chme¾ovec;Chme¾ovec;Prešov;082 12;Kapušany pri Prešove;Kapušany pri Prešove;707;PV;08212
Chmiòany;Chmiòany;Prešov;082 33;Chminianska Nová Ves;Chminianska Nová Ves;707;PV;08233
Chminianska Nová Ves;Chminianska Nová Ves;Prešov;082 33;Chminianska Nová Ves;Chminianska Nová Ves;707;PV;08233
Chminianske Jakubovany;Chminian. Jakubovany;Prešov;082 33;Chminianska Nová Ves;Chminianska Nová Ves;707;PV;08233
Choèa;Choèa;Zlaté Moravce;951 76;Tesárske Mlyòany;Tesárske Mlyòany;407;NI;95176
Chocholná;Chocholná;Trenèín;913 04;Chocholná-Velèice;Chocholná-Velèice;309;TC;91304
Choòkovce;Choòkovce;Sobrance;072 63;Choòkovce;Choòkovce;809;KI;07263
Chorvatice;Chorvatice;Levice;935 84;Horné Semerovce;Horné Semerovce;402;NI;93584
Chorvátsky Grob;Chorvátsky Grob;Senec;900 25;Chorvátsky Grob;Chorvátsky Grob;108;BL;90025
Chorváty;Chorváty;Košice-okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;04402
Chotár;Chotár;arnovica;968 01;Nová Baòa;Nová Baòa;612;BC;96801
Chotèa;Chotèa;Stropkov;090 21;Chotèa;Chotèa;711;PV;09021
Chotín;Chotín;Komárno;946 31;Chotín;Chotín;401;NI;94631
Chrabrany;Chrabrany;Topo¾èany;955 01;Topo¾èany 1;Topo¾èany 1;406;NI;95501
Chrámec;Chrámec;Rimavská Sobota;980 42;Rimavská Seè;Rimavská Seè;609;BC;98042
Chras;Chras;Komárno;946 54;Bajè;Bajè;401;NI;94654
Chras nad Hornádom;Chras nad Hornádom;Spišská Nová Ves;053 63;Spišskı Hrušov;Spišskı Hrušov;810;KI;05363
Chrastince;Chrastince;Ve¾kı Krtíš;991 08;Lesenice;Lesenice;610;BC;99108
Chrastné;Chrastné;Košice-okolie;044 44;Krá¾ovce pri Košiciach;Krá¾ovce pri Koš.;806;KI;04444
Chrašany;Chrašany;Zlaté Moravce;951 75;Beladice;Beladice;407;NI;95175
Chrenová;Chrenová;Nitra;949 01;Nitra 1;Nitra 1;403;NI;94901
Chrenovec - Brusno;Chrenovec - Brusno;Prievidza;972 32;Chrenovec;Chrenovec;307;TC;97232
Chropov;Chropov;Skalica;908 64;Chropov;Chropov;206;TA;90864
Chrany;Chrany;Ve¾kı Krtíš;991 21;Závada;Závada;610;BC;99121
Chtelnica;Chtelnica;Piešany;922 05;Chtelnica;Chtelnica;204;TA;92205
Chudá Lehota;Chudá Lehota;Bánovce nad Bebravou;956 38;Šišov;Šišov;301;TC;95638
Chvalová;Chvalová;Revúca;982 62;Gemerská Ves;Gemerská Ves;608;BC;98262
Chvatimech;Chvatimech;Brezno;976 81;Podbrezová;Podbrezová;603;BC;97681
Chvojnica;Chvojnica;Prievidza;972 13;Nitrianske Pravno;Nitrianske Pravno;307;TC;97213
Chvojnica;Chvojnica;Myjava;906 06;Vrbovce;Vrbovce;303;TC;90606
Chym;Chym;Košice-okolie;044 74;Perín-Chym;Perín-Chym;806;KI;04474
Chynorany;Chynorany;Partizánske;956 33;Chynorany;Chynorany;305;TC;95633
Chyzerovce;Chyzerovce;Zlaté Moravce;953 01;Zlaté Moravce 1;Zlaté Moravce 1;407;NI;95301
Chyné;Chyné;Revúca;049 18;Lubeník;Lubeník;608;BC;04918
Igram;Igram;Senec;900 84;Báhoò;Báhoò;108;BL;90084
Ih¾any;Ih¾any;Kemarok;059 94;Holumnica;Holumnica;703;PV;05994
Ihráè;Ihráè;iar nad Hronom;967 01;Kremnica 1;Kremnica 1;613;BC;96701
Ihrište;Ihrište;Púchov;020 01;Púchov 1;Púchov 1;308;TC;02001
I¾anovo;I¾anovo;Liptovskı Mikuláš;031 01;Liptovskı Mikuláš 1;Liptovskı Mikuláš 1;505;ZI;03101
Ilava;Ilava;Ilava;019 01;Ilava;Ilava;302;TC;01901
Iliaš;Iliaš;Banská Bystrica;974 05;Banská Bystrica 5;Banská Bystrica 5;601;BC;97405
Iliašov;Iliašov;Ve¾kı Krtíš;991 07;Slovenské Ïarmoty;Slovenské Ïarmoty;610;BC;99107
Iliašovce;Iliašovce;Spišská Nová Ves;053 11;Smiany;Smiany;810;KI;05311
Iliavka;Iliavka;Ilava;019 01;Ilava;Ilava;302;TC;01901
Ilija;Ilija;Banská Štiavnica;969 01;Banská Štiavnica 1;Banská Štiavnica 1;602;BC;96901
Ime¾;Ime¾;Komárno;946 52;Ime¾;Ime¾;401;NI;94652
Imrov Kopec;Imrov Kopec;Ve¾kı Krtíš;991 21;Závada;Závada;610;BC;99121
Iòa;Iòa;Levice;935 35;Tehla;Tehla;402;NI;93535
Iòaèovce;Iòaèovce;Michalovce;072 11;Èeèehov;Èeèehov;807;KI;07211
Inovce;Inovce;Sobrance;072 64;Podhoroï;Podhoroï;809;KI;07264
Ipe¾;Ipe¾;Poltár;985 26;Málinec;Málinec;607;BC;98526
Ipe¾ka;Ipe¾ka;Luèenec;985 41;Šávo¾;Šávo¾;606;BC;98541
Ipe¾ské Predmostie;Ipe¾ské Predmostie;Ve¾kı Krtíš;991 10;Ve¾ká Ves nad Ip¾om;Ve¾ká Ves nad Ip¾om;610;BC;99110
Ipe¾ské Ú¾any;Ipe¾ské Ú¾any;Levice;935 82;Plášovce;Plášovce;402;NI;93582
Ipe¾skı Sokolec;Ipe¾skı Sokolec;Levice;935 75;Ipe¾skı Sokolec;Ipe¾skı Sokolec;402;NI;93575
Istebné;Istebné;Dolnı Kubín;027 53;Istebné nad Oravou;Istebné nad Oravou;503;ZI;02753
Istebník;Istebník;Trenèín;911 05;Trenèín 5;Trenèín 5;309;TC;91105
Ivachnová;Ivachnová;Ruomberok;034 83;Liptovská Teplá;Liptovská Teplá;508;ZI;03483
Ivanèiná;Ivanèiná;Turèianske Teplice;038 45;Malı Èepèín;Malı Èepèín;509;ZI;03845
Ivanice;Ivanice;Rimavská Sobota;980 42;Rimavská Seè;Rimavská Seè;609;BC;98042
Ivanišovo;Ivanišovo;Detva;985 51;Podkriváò;Podkriváò;604;BC;98551
Ivanka pri Dunaji;Ivanka pri Dunaji;Senec;900 28;Ivanka pri Dunaji;Ivanka pri Dunaji;108;BL;90028
Ivanka pri Nitre;Ivanka pri Nitre;Nitra;951 12;Ivanka pri Nitre;Ivanka pri Nitre;403;NI;95112
Ivanovce;Ivanovce;Trenèín;913 05;Melèice-Lieskové;Melèice-Lieskové;309;TC;91305
Iviny;Iviny;Detva;962 12;Detva-sídlisko;Detva-sídlisko;604;BC;96212
Ia;Ia;Komárno;946 39;Ia;Ia;401;NI;94639
Iipovce;Iipovce;Liptovskı Mikuláš;032 23;Liptovská Sielnica;Liptovská Sielnica;505;ZI;03223
Ikovce;Ikovce;Michalovce;076 72;Vojany;Vojany;807;KI;07672
Iop;Iop;Dunajská Streda;932 01;Ve¾kı Meder;Ve¾kı Meder;201;TA;93201
Jabloò;Jabloò;Humenné;067 13;Rokytov pri Humennom;Rokytov pri Humennom;702;PV;06713
Jablonec;Jablonec;Pezinok;900 86;Budmerice;Budmerice;107;BL;90086
Jablonica;Jablonica;Senica;906 32;Jablonica;Jablonica;205;TA;90632
Jablonka;Jablonka;Myjava;906 21;Jablonka;Jablonka;303;TC;90621
Jablonov;Jablonov;Levoèa;053 03;Jablonov pri Levoèi;Jablonov pri Levoèi;704;PV;05303
Jablonov nad Turòou;Jablonov nad Turòou;Roòava;049 43;Jablonov nad Turòou;Jablonov nad Turòou;808;KI;04943
Jabloòovce;Jabloòovce;Levice;935 06;Jabloòovce;Jabloòovce;402;NI;93506
Jablonové;Jablonové;Malacky;900 54;Jablonové;Jablonové;106;BL;90054
Jablonové;Jablonové;Bytèa;013 52;Sú¾ov;Sú¾ov;501;ZI;01352
Jabriková;Jabriková;Banská Bystrica;976 34;Tajov;Tajov;601;BC;97634
Jacovce;Jacovce;Topo¾èany;956 21;Jacovce;Jacovce;406;NI;95621
Jahodná;Jahodná;Dunajská Streda;930 21;Jahodná pri Dunajskej Strede;Jahodná pri D.Strede;201;TA;93021
Jahodníky;Jahodníky;Martin;036 01;Martin 1;Martin 1;506;ZI;03601
Jaklovce;Jaklovce;Gelnica;055 61;Jaklovce;Jaklovce;801;KI;05561
Jakovany;Jakovany;Sabinov;083 01;Sabinov;Sabinov;708;PV;08301
Jakub;Jakub;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;97401
Jakubany;Jakubany;Stará ¼ubovòa;065 12;Jakubany;Jakubany;710;PV;06512
Jakubov;Jakubov;Malacky;900 63;Jakubov;Jakubov;106;BL;90063
Jakubova Vo¾a;Jakubova Vo¾a;Sabinov;082 56;Peèovská Nová Ves;Peèovská Nová Ves;708;PV;08256
Jakubovany;Jakubovany;Liptovskı Mikuláš;032 04;Liptovskı Ondrej;Liptovskı Ondrej;505;ZI;03204
Jakubovany;Jakubovany;Sabinov;083 01;Sabinov;Sabinov;708;PV;08301
Jakušovce;Jakušovce;Stropkov;090 31;Kolbovce;Kolbovce;711;PV;09031
Jalakšová;Jalakšová;Levice;935 03;Bátovce;Bátovce;402;NI;93503
Jalná;Jalná;iar nad Hronom;966 11;Trnavá Hora;Trnavá Hora;613;BC;96611
Jalová;Jalová;Snina;067 61;Stakèín;Stakèín;709;PV;06761
Jalovec;Jalovec;Liptovskı Mikuláš;032 21;Bobrovec;Bobrovec;505;ZI;03221
Jalovec;Jalovec;Prievidza;972 31;Ráztoèno;Ráztoèno;307;TC;97231
Jalšové;Jalšové;Hlohovec;922 31;Sokolovce;Sokolovce;203;TA;92231
Jalšovík;Jalšovík;Krupina;962 41;Bzovík;Bzovík;605;BC;96241
Jamník;Jamník;Liptovskı Mikuláš;033 01;Liptovskı Hrádok 1;Liptovskı Hrádok 1;505;ZI;03301
Jamník;Jamník;Spišská Nová Ves;053 22;Odorín;Odorín;810;KI;05322
Janice;Janice;Rimavská Sobota;980 42;Rimavská Seè;Rimavská Seè;609;BC;98042
Janík;Janík;Košice-okolie;044 05;Janík;Janík;806;KI;04405
Janíkovce;Janíkovce;Nitra;949 07;Nitra 7;Nitra 7;403;NI;94907
Janíky;Janíky;Dunajská Streda;930 39;Zlaté Klasy;Zlaté Klasy;201;TA;93039
Jankovce;Jankovce;Humenné;067 24;Lukaèovce pri Humennom;Lukaèovce pri Humen.;702;PV;06724
Jánošíková;Jánošíková;Senec;900 42;Dunajská Luná;Dunajská Luná;108;BL;90042
Jánošíkovo na Ostrove;Jánošíkovo na Ostrov;Dunajská Streda;930 10;Dolnı Štál;Dolnı Štál;201;TA;93010
Jánošovka;Jánošovka;Brezno;976 52;Èierny Balog;Èierny Balog;603;BC;97652
Janov;Janov;Prešov;082 42;Bzenov;Bzenov;707;PV;08242
Janova Lehota;Janova Lehota;iar nad Hronom;966 24;Janova Lehota;Janova Lehota;613;BC;96624
Janova Ves;Janova Ves;Partizánske;958 44;Klátova Nová Ves;Klátova Nová Ves;305;TC;95844
Janovce;Janovce;Bardejov;086 41;Raslavice;Raslavice;701;PV;08641
Jánovce;Jánovce;Poprad;059 13;Jánovce pri Poprade;Jánovce pri Poprade;706;PV;05913
Jánovce;Jánovce;Galanta;925 22;Ve¾ké Ú¾any;Ve¾ké Ú¾any;202;TA;92522
Janovík;Janovík;Prešov;082 03;Lemešany;Lemešany;707;PV;08203
Jarabá;Jarabá;Brezno;977 01;Brezno;Brezno;603;BC;97701
Jarabina;Jarabina;Stará ¼ubovòa;065 31;Jarabina;Jarabina;710;PV;06531
Jarná;Jarná;Trnava;919 43;Cífer;Cífer;207;TA;91943
Jarok;Jarok;Nitra;951 48;Jarok;Jarok;403;NI;95148
Jarok;Jarok;Levice;937 01;eliezovce;eliezovce;402;NI;93701
Jarovnice;Jarovnice;Sabinov;082 63;Jarovnice;Jarovnice;708;PV;08263
Jasenica;Jasenica;Povaská Bystrica;018 17;Jasenica;Jasenica;306;TC;01817
Jasenie;Jasenie;Brezno;976 75;Jasenie;Jasenie;603;BC;97675
Jasenov;Jasenov;Humenné;066 01;Humenné 1;Humenné 1;702;PV;06601
Jasenov;Jasenov;Sobrance;072 42;Úbre;Úbre;809;KI;07242
Jasenová;Jasenová;Dolnı Kubín;026 01;Dolnı Kubín 1;Dolnı Kubín 1;503;ZI;02601
Jasenovce;Jasenovce;Vranov nad Top¾ou;094 05;Holèíkovce;Holèíkovce;713;PV;09405
Jasenové;Jasenové;ilina;013 19;K¾aèe;K¾aèe;511;ZI;01319
Jasenovo;Jasenovo;Detva;962 05;Hriòová;Hriòová;604;BC;96205
Jasenovo;Jasenovo;Turèianske Teplice;038 22;Slovenské Pravno;Slovenské Pravno;509;ZI;03822
Jasenovská;Jasenovská;Námestovo;029 57;Oravská Lesná;Oravská Lesná;507;ZI;02957
Jaslovce;Jaslovce;Trnava;919 30;Jaslovské Bohunice;Jaslovské Bohunice;207;TA;91930
Jaslovské Bohunice;Jaslovské Bohunice;Trnava;919 30;Jaslovské Bohunice;Jaslovské Bohunice;207;TA;91930
Jaslovské Bohunice-Atómová elektráreò;Jas.Bohunice-At.el.;Trnava;919 31;Jaslovské Bohunice-atómová elektráreò;Jas.Bohunice-at.el.;207;TA;91931
Jasov;Jasov;Košice-okolie;044 23;Jasov;Jasov;806;KI;04423
Jasová;Jasová;Nové Zámky;941 34;Jasová pri Novıch Zámkoch;Jasová pri N.Zámkoch;404;NI;94134
Jastrabá;Jastrabá;iar nad Hronom;967 01;Kremnica 1;Kremnica 1;613;BC;96701
Jastrabie Kraèany;Jastrabie Kraèany;Dunajská Streda;930 03;Krá¾ovièove Kraèany;Krá¾ovièove Kraèany;201;TA;93003
Jastrabie nad Top¾ou;Jastrabie nad Top¾ou;Vranov nad Top¾ou;094 35;So¾;So¾;713;PV;09435
Jastrabie pri Michalovciach;Jastrabie pri Michal;Michalovce;072 11;Èeèehov;Èeèehov;807;KI;07211
Jašov Vrch;Jašov Vrch;Detva;962 25;Slatinské Lazy;Slatinské Lazy;604;BC;96225
Jatov;Jatov;Nové Zámky;941 10;Tvrdošovce;Tvrdošovce;404;NI;94110
Javorec;Javorec;Senica;906 05;Sobotište;Sobotište;205;TA;90605
Javorina;Javorina;Poprad;059 56;Javorina;Javorina;706;PV;05956
Javorina;Javorina;Brezno;976 53;Lom nad Rimavicou;Lom nad Rimavicou;603;BC;97653
Javorinka;Javorinka;Galanta;925 01;Matúškovo;Matúškovo;202;TA;92501
Javorová;Javorová;Èadca;023 22;Klokoèov pri Èadci;Klokoèov pri Èadci;502;ZI;02322
Jazernica;Jazernica;Turèianske Teplice;038 44;Jazernica;Jazernica;509;ZI;03844
Jazviny;Jazviny;Nové Mesto n.Váhom;916 01;Stará Turá;Stará Turá;304;TC;91601
Jedlinka;Jedlinka;Bardejov;086 36;Niná Polianka;Niná Polianka;701;PV;08636
Jed¾ové Kosto¾any;Jed¾ové Kosto¾any;Zlaté Moravce;951 96;Jed¾ové Kosto¾any;Jed¾ové Kosto¾any;407;NI;95196
